NASDAQ,ABXA,2009-12-09,2.55,2.77,2.50,2.67,158500,2.67
NASDAQ,ABXA,2009-12-08,2.71,2.74,2.52,2.55,131700,2.55
NASDAQ,ABXA,2009-12-07,2.65,2.76,2.65,2.71,174200,2.71
NASDAQ,ABXA,2009-12-04,2.63,2.66,2.53,2.65,230900,2.65
NASDAQ,ABXA,2009-12-03,2.55,2.62,2.51,2.60,360900,2.60
NASDAQ,ABXA,2009-12-02,2.41,2.59,2.40,2.53,287700,2.53
NASDAQ,ABXA,2009-12-01,2.35,2.44,2.27,2.40,302000,2.40
NASDAQ,ABXA,2009-11-30,2.36,2.36,2.11,2.25,446100,2.25
NASDAQ,ABXA,2009-11-27,2.35,2.42,2.30,2.35,135200,2.35
NASDAQ,ABXA,2009-11-25,2.48,2.49,2.40,2.45,77500,2.45
NASDAQ,ABXA,2009-11-24,2.35,2.45,2.35,2.43,147700,2.43
NASDAQ,ABXA,2009-11-23,2.40,2.45,2.31,2.38,222900,2.38
NASDAQ,ABXA,2009-11-20,2.38,2.60,2.20,2.37,278300,2.37
NASDAQ,ABXA,2009-11-19,2.45,2.65,2.35,2.38,405900,2.38
NASDAQ,ABXA,2009-11-18,2.45,2.62,2.40,2.53,251900,2.53
NASDAQ,ABXA,2009-11-17,2.55,2.55,2.37,2.48,318700,2.48
NASDAQ,ABXA,2009-11-16,2.60,2.71,2.50,2.56,363400,2.56
NASDAQ,ABXA,2009-11-13,2.99,2.99,2.34,2.60,653900,2.60
NASDAQ,ABXA,2009-11-12,3.09,3.15,2.83,2.99,659000,2.99
NASDAQ,ABXA,2009-11-11,2.95,3.10,2.85,3.09,256700,3.09
NASDAQ,ABXA,2009-11-10,3.14,3.14,2.82,2.90,203400,2.90
NASDAQ,ABXA,2009-11-09,3.01,3.13,3.00,3.13,170600,3.13
NASDAQ,ABXA,2009-11-06,2.82,3.01,2.81,2.94,209300,2.94
NASDAQ,ABXA,2009-11-05,2.76,2.93,2.75,2.92,230700,2.92
NASDAQ,ABXA,2009-11-04,2.75,2.81,2.73,2.74,258700,2.74
NASDAQ,ABXA,2009-11-03,2.71,2.73,2.58,2.70,150400,2.70
NASDAQ,ABXA,2009-11-02,2.65,2.78,2.50,2.64,327100,2.64
NASDAQ,ABXA,2009-10-30,2.85,2.88,2.53,2.59,383800,2.59
NASDAQ,ABXA,2009-10-29,2.71,2.89,2.71,2.84,181600,2.84
NASDAQ,ABXA,2009-10-28,2.98,2.98,2.64,2.66,507700,2.66
NASDAQ,ABXA,2009-10-27,2.95,3.04,2.93,2.94,234100,2.94
NASDAQ,ABXA,2009-10-26,3.08,3.20,2.89,2.89,329800,2.89
NASDAQ,ABXA,2009-10-23,3.31,3.34,3.09,3.12,200900,3.12
NASDAQ,ABXA,2009-10-22,3.23,3.32,3.04,3.30,222900,3.30
NASDAQ,ABXA,2009-10-21,3.19,3.39,3.11,3.22,316100,3.22
NASDAQ,ABXA,2009-10-20,3.33,3.33,3.12,3.18,143700,3.18
NASDAQ,ABXA,2009-10-19,3.31,3.33,3.24,3.32,118100,3.32
NASDAQ,ABXA,2009-10-16,3.33,3.37,3.27,3.29,196500,3.29
NASDAQ,ABXA,2009-10-15,3.33,3.39,3.24,3.35,552300,3.35
NASDAQ,ABXA,2009-10-14,3.36,3.42,3.20,3.33,313700,3.33
NASDAQ,ABXA,2009-10-13,3.40,3.40,3.21,3.32,222800,3.32
NASDAQ,ABXA,2009-10-12,3.30,3.46,3.25,3.36,242200,3.36
NASDAQ,ABXA,2009-10-09,3.22,3.31,3.22,3.31,127400,3.31
NASDAQ,ABXA,2009-10-08,3.19,3.27,3.05,3.20,550200,3.20
NASDAQ,ABXA,2009-10-07,3.17,3.25,3.11,3.18,177900,3.18
NASDAQ,ABXA,2009-10-06,3.15,3.34,3.11,3.18,390600,3.18
NASDAQ,ABXA,2009-10-05,3.07,3.24,3.06,3.13,238600,3.13
NASDAQ,ABXA,2009-10-02,3.13,3.19,2.85,3.09,531600,3.09
NASDAQ,ABXA,2009-10-01,3.45,3.50,3.19,3.19,240700,3.19
NASDAQ,ABXA,2009-09-30,3.54,3.55,3.37,3.46,286200,3.46
NASDAQ,ABXA,2009-09-29,3.45,3.65,3.38,3.53,358400,3.53
NASDAQ,ABXA,2009-09-28,3.42,3.50,3.36,3.45,205900,3.45
NASDAQ,ABXA,2009-09-25,3.36,3.54,3.15,3.42,357900,3.42
NASDAQ,ABXA,2009-09-24,3.64,3.76,3.35,3.37,360300,3.37
NASDAQ,ABXA,2009-09-23,3.75,3.78,3.62,3.62,322900,3.62
NASDAQ,ABXA,2009-09-22,3.81,3.88,3.72,3.77,299600,3.77
NASDAQ,ABXA,2009-09-21,3.79,3.80,3.60,3.79,448900,3.79
NASDAQ,ABXA,2009-09-18,3.72,3.81,3.56,3.79,1706300,3.79
NASDAQ,ABXA,2009-09-17,3.94,3.94,3.60,3.71,905400,3.71
NASDAQ,ABXA,2009-09-16,3.84,4.06,3.60,3.78,1737500,3.78
NASDAQ,ABXA,2009-09-15,3.49,3.69,3.39,3.63,611500,3.63
NASDAQ,ABXA,2009-09-14,3.37,3.47,3.29,3.46,280100,3.46
NASDAQ,ABXA,2009-09-11,3.32,3.42,3.27,3.39,331400,3.39
NASDAQ,ABXA,2009-09-10,3.18,3.34,3.18,3.33,318200,3.33
NASDAQ,ABXA,2009-09-09,3.15,3.21,3.11,3.20,180900,3.20
NASDAQ,ABXA,2009-09-08,3.24,3.25,3.05,3.13,245900,3.13
NASDAQ,ABXA,2009-09-04,3.05,3.24,3.05,3.20,243200,3.20
NASDAQ,ABXA,2009-09-03,3.00,3.10,2.97,3.07,220800,3.07
NASDAQ,ABXA,2009-09-02,2.76,2.99,2.76,2.97,324900,2.97
NASDAQ,ABXA,2009-09-01,2.96,2.99,2.71,2.76,353900,2.76
NASDAQ,ABXA,2009-08-31,3.09,3.12,2.95,2.96,304600,2.96
NASDAQ,ABXA,2009-08-28,3.23,3.23,3.09,3.10,261400,3.10
NASDAQ,ABXA,2009-08-27,3.07,3.21,3.05,3.20,356600,3.20
NASDAQ,ABXA,2009-08-26,3.08,3.16,3.05,3.10,219300,3.10
NASDAQ,ABXA,2009-08-25,3.10,3.16,3.05,3.09,273500,3.09
NASDAQ,ABXA,2009-08-24,3.14,3.20,3.00,3.10,307400,3.10
NASDAQ,ABXA,2009-08-21,3.02,3.24,2.94,3.10,669400,3.10
NASDAQ,ABXA,2009-08-20,2.90,2.94,2.88,2.93,252100,2.93
NASDAQ,ABXA,2009-08-19,2.87,2.94,2.85,2.89,235900,2.89
NASDAQ,ABXA,2009-08-18,2.97,2.97,2.87,2.89,315300,2.89
NASDAQ,ABXA,2009-08-17,2.88,2.98,2.72,2.89,398700,2.89
NASDAQ,ABXA,2009-08-14,2.74,3.08,2.72,2.98,1036600,2.98
NASDAQ,ABXA,2009-08-13,2.89,2.91,2.71,2.75,248900,2.75
NASDAQ,ABXA,2009-08-12,2.71,2.91,2.61,2.82,383800,2.82
NASDAQ,ABXA,2009-08-11,2.86,2.94,2.60,2.70,447100,2.70
NASDAQ,ABXA,2009-08-10,2.94,2.95,2.86,2.90,391700,2.90
NASDAQ,ABXA,2009-08-07,2.64,2.99,2.50,2.90,816400,2.90
NASDAQ,ABXA,2009-08-06,2.96,3.02,2.61,2.63,692700,2.63
NASDAQ,ABXA,2009-08-05,3.38,3.39,2.72,2.99,1079400,2.99
NASDAQ,ABXA,2009-08-04,3.41,3.41,3.31,3.38,215500,3.38
NASDAQ,ABXA,2009-08-03,3.44,3.44,3.34,3.39,434300,3.39
NASDAQ,ABXA,2009-07-31,3.42,3.47,3.32,3.33,234100,3.33
NASDAQ,ABXA,2009-07-30,3.35,3.47,3.17,3.42,382900,3.42
NASDAQ,ABXA,2009-07-29,3.35,3.60,3.25,3.32,491600,3.32
NASDAQ,ABXA,2009-07-28,3.20,3.39,3.19,3.35,616200,3.35
NASDAQ,ABXA,2009-07-27,3.00,3.21,2.98,3.19,420100,3.19
NASDAQ,ABXA,2009-07-24,2.99,3.00,2.85,2.99,253000,2.99
NASDAQ,ABXA,2009-07-23,2.90,3.00,2.89,3.00,350500,3.00
NASDAQ,ABXA,2009-07-22,2.84,2.92,2.80,2.92,197800,2.92
NASDAQ,ABXA,2009-07-21,2.83,2.89,2.77,2.84,210200,2.84
NASDAQ,ABXA,2009-07-20,2.79,2.95,2.70,2.83,628600,2.83
NASDAQ,ABXA,2009-07-17,2.84,2.96,2.79,2.79,396600,2.79
